Anja Gockel	http://www.wikidata.org/entity/Q107104
Anja Rubik	http://www.wikidata.org/entity/Q235986
Ann Demeulemeester	http://www.wikidata.org/entity/Q466241
Ann Salens	http://www.wikidata.org/entity/Q14943175
Ann-Sofie Back	http://www.wikidata.org/entity/Q4937162
Anna	http://www.wikidata.org/entity/Q11522617
Anna Barsukova	http://www.wikidata.org/entity/Q16198232
Anna Dello Russo	http://www.wikidata.org/entity/Q2461630
Anna Heylen	http://www.wikidata.org/entity/Q2365397
Anna Molinari	http://www.wikidata.org/entity/Q3641225
Anna Selezneva	http://www.wikidata.org/entity/Q2402838
Anna Sui	http://www.wikidata.org/entity/Q262789
Anne Klein	http://www.wikidata.org/entity/Q29017359
Anne Sofie Madsen	http://www.wikidata.org/entity/Q47494233
Anne Valérie Hash	http://www.wikidata.org/entity/Q2851314
Anne Vyalitsyna	http://www.wikidata.org/entity/Q2716298
Annemie Verbeke	http://www.wikidata.org/entity/Q2642012
Anoek Luyten	http://www.wikidata.org/entity/Q52635434
Anouck Lepere	http://www.wikidata.org/entity/Q2236586
Anthony Vaccarello	http://www.wikidata.org/entity/Q23711946
Antoine Peters	http://www.wikidata.org/entity/Q4775523
Antonia Wesseloh	http://www.wikidata.org/entity/Q15783709
Antonio Alvarado	http://www.wikidata.org/entity/Q5659448
Antonio Berardi	http://www.wikidata.org/entity/Q3619247
Antonio Marras	http://www.wikidata.org/entity/Q3619851
Antonio Miro	http://www.wikidata.org/entity/Q8201516
Antonio Pernas	http://www.wikidata.org/entity/Q8201600
Antony Price	http://www.wikidata.org/entity/Q4777245
Arickx, Filip	http://www.wikidata.org/entity/Q21544769
Ariel Meredith	http://www.wikidata.org/entity/Q4790435
Arizona Muse	http://www.wikidata.org/entity/Q2699083
Arkadius	http://www.wikidata.org/entity/Q9159676
Arlenis Sosa	http://www.wikidata.org/entity/Q2407790
Armand Basi	http://www.wikidata.org/entity/Q2168925
Armani Jeans	http://www.wikidata.org/entity/Q56045715
Armani, Giorgio	http://www.wikidata.org/entity/Q157054
Armani, Giorgio (Lugar de nacimiento: Italia, 1934)	http://www.wikidata.org/entity/Q157054
Arne Wahlberg	http://www.wikidata.org/entity/Q6228626
Arzu Kaprol	http://www.wikidata.org/entity/Q26234872
Ashley Isham	http://www.wikidata.org/entity/Q4805484
Ashley, Laura	http://www.wikidata.org/entity/Q449114
Ataui Deng	http://www.wikidata.org/entity/Q17579952
Atelier Gustavolins	http://www.wikidata.org/entity/Q29016635
Audrey Marnay	http://www.wikidata.org/entity/Q2870859
August Strindberg	http://www.wikidata.org/entity/Q7724
Augusta Bernard	http://www.wikidata.org/entity/Q3629552
Augusta Zetterling	http://www.wikidata.org/entity/Q41553961
Aurélie Claudel	http://www.wikidata.org/entity/Q1627337
Ava Smith	http://www.wikidata.org/entity/Q20056601
Axel Malmström	http://www.wikidata.org/entity/Q5974199
Axel Rydin	http://www.wikidata.org/entity/Q41553847
Aymeline Valade	http://www.wikidata.org/entity/Q2874936
Aziz Bekkaoui	http://www.wikidata.org/entity/Q16514163
Azzaro, Loris (Lugar de nacimiento: Túnez, 09/02/1933 - Lugar de defunción: Paris, 23/11/2003)	http://www.wikidata.org/entity/Q320401
Azzedine Alaia	http://www.wikidata.org/entity/Q2553832
Azzedine Alaïa	http://www.wikidata.org/entity/Q2553832
Bache Jespers	http://www.wikidata.org/entity/Q52491472
Back, Ann-Sofie	http://www.wikidata.org/entity/Q4937162
Backlund, Sandra	http://www.wikidata.org/entity/Q4937184
Balenciaga	http://www.wikidata.org/entity/Q1530892
Balmain	http://www.wikidata.org/entity/Q1385309
Balmain, Pierre	http://www.wikidata.org/entity/Q551674
Balmain, Pierre (Lugar de nacimiento: Francia, 1914 - Lugar de defunción: Francia, 1982)	http://www.wikidata.org/entity/Q551674
Bambou	http://www.wikidata.org/entity/Q581225
Band of Outsiders	http://www.wikidata.org/entity/Q16987772
Baptiste Giabiconi	http://www.wikidata.org/entity/Q1397437
Bar Refaeli	http://www.wikidata.org/entity/Q298197
Barbara	http://www.wikidata.org/entity/Q35992
Barbara Bui	http://www.wikidata.org/entity/Q22231612
Barbara Fialho	http://www.wikidata.org/entity/Q16531371
Barbara Hulanicki	http://www.wikidata.org/entity/Q1823236
Barbara Meier	http://www.wikidata.org/entity/Q62508
Barbara Palvin	http://www.wikidata.org/entity/Q24368
Barbara Tfank	http://www.wikidata.org/entity/Q4859357
Barnaart van Bergen, Michael	http://www.wikidata.org/entity/Q2028055
Barros, María	http://www.wikidata.org/entity/Q6003418
Barthet, Jean	http://www.wikidata.org/entity/Q18808300
Bas Kosters	http://www.wikidata.org/entity/Q17566321
Basil Soda	http://www.wikidata.org/entity/Q12195750
Basso & Brooke	http://www.wikidata.org/entity/Q4868183
Bastida, Asunción (Lugar de nacimiento: Barcelona (m), 1902 - Lugar de defunción: Barcelona (m), 1995)	http://www.wikidata.org/entity/Q16172128
Beeuwkes, Ernst Jan	http://www.wikidata.org/entity/Q2293249
Behati Prinsloo	http://www.wikidata.org/entity/Q260645
Behnaz Sarafpour	http://www.wikidata.org/entity/Q4880955
Beirendonck, Walter Van	http://www.wikidata.org/entity/Q1396462
Beirendonck, Walter van	http://www.wikidata.org/entity/Q1396462
Bekkaoui, Aziz	http://www.wikidata.org/entity/Q16514163
Belle & Bunty	http://www.wikidata.org/entity/Q4883584
Ben de Lisi	http://www.wikidata.org/entity/Q4886765
Benno Premsela	http://www.wikidata.org/entity/Q2870056
Benthum, Francisco van	http://www.wikidata.org/entity/Q19716309
Beretta, Anne-Marie	http://www.wikidata.org/entity/Q3617928
Bergen, Mattijs van	http://www.wikidata.org/entity/Q29554424
Bergé-Farwick, Lien	http://www.wikidata.org/entity/Q3241292
Berhanyer, Elio (Lugar de nacimiento: Córdoba, 1933)	http://www.wikidata.org/entity/Q5361171
Bernard Chandran	http://www.wikidata.org/entity/Q4892986
Berndt Klyvare	http://www.wikidata.org/entity/Q5914844
Bernhard Willhelm	http://www.wikidata.org/entity/Q936206
